id,food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density
1513,orange apricot juice,128,0.3,0.001,0.078,0.063,31.8,30.2,0.8,0.3,0,0.096,216.8,0,0.022,0.094,0,0.021,0.5,0.2,0.08,50,0,0.3,0.054,12.5,0.024,0.3,12.5,0.091,20,200,0.086,0.1,96.0
1514,tangerine juice,106,0.5,0.082,0.015,0.054,24.9,24.5,1.2,0.5,0,0.022,219.6,0,0,0.1,0.086,0,0.094,0.2,0.3,0.1,76.6,0,0.3,0,44.5,0.06,0.5,19.8,0.031,34.6,439.7,0.016,27.29
1515,orange juice,90,0.4,0.079,0.046,0.037,20.8,16.8,1.4,0.4,0,0.067,176.6,0,0,0.2,0.002,0,0.01,0.8,0.4,0.052,100,0,0.013,0.053,22,0.06,0.4,22,0.056,34,400,0.067,23.177
1516,grapefruit juice,96,0.2,0.011,0.09,0.008,22.7,0,1.2,0,0,0.061,222.3,0,0,0.06,0.038,0,0.01,0.5,0.5,0.1,93.9,0,0,0,22.2,0.004,0.5,29.6,0.037,37.1,400.1,0,24.254
1517,pineapple grapefruit juice,118,0.3,0.077,0.0,0.022,29,28.8,0.5,0.3,0,0.054,219.8,0,0.042,0.047,0,0.07,0.7,0.1,0.1,115,0,0.001,0.046,17.5,0.1,0.8,15,1,15,152.5,0.025,0.2,163.4
1518,tamarind nectar,143,0.3,0,0,0,37,31.9,0.2,1.3,0,0.046,213.3,0,0.077,0.055,0,0.024,0.2,0.025,0.048,17.8,0,0.3,0.069,25.1,0.054,1.9,10,0.079,5,67.8,0,0.089,83.6
1519,apple juice,114,0.3,0.064,0.078,0.09,28,23.9,0.2,0.5,0,0.038,218.8,0,0,0.083,0,0,0.019,0.2,0.1,0.025,2.2,0,0.057,0,19.8,0.065,0.3,12.4,0.2,17.4,250.5,0.039,29.087
1520,limeade,128,0,0,0,0,34.1,32.8,0,0,0,0.071,212.6,0,0.047,0.058,0,0.034,0.05,0.006,0.051,7.7,0,0,0,4.9,0.058,0,4.9,0.068,2.5,24.7,0.081,0.024,46.7
1521,guava nectar,158,0.2,0.05,0.071,0.054,40.8,32.5,0.2,2.5,0,0.063,209.6,0,0,0.06,0.075,0,0.073,0.4,0.2,0.057,53,0,0.1,0.087,20.1,0.055,1,5,0.1,5,97.9,0,43.83
1522,orange grapefruit juice,106,0.2,0.009,0.001,0.098,25.4,25.1,1.5,0.2,0,0.082,218.9,0,0.1,0.005,0,0.04,0.8,0.3,0.079,71.9,0,0.3,0.066,19.8,0.2,1.1,24.7,0.067,34.6,390.3,0.005,0.2,120.1
1523,orange juice sainsburys,14,0.088,2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049
1524,cranberry apple juice,154,0.3,0.066,0.014,0.1,38.8,35.5,0,0,0,0.061,205.3,0,0,0,0,0,0,0,0,96.8,0,0.3,0.075,7.4,0.07,0.2,2.5,0.1,4.9,41.7,0,0.015,143.5
1525,pineapple orange juice,125,0,0,0,0,29.5,29,3.3,0.3,0,0.069,217.3,0,0.035,0.046,0,0.02,0.5,0.1,0.1,56.3,0,0.079,0.085,12.5,0.1,0.7,15,0.9,10,115,0.071,0.2,102.6
1526,pear nectar,150,0.062,0.032,0.086,0.038,39.4,0,0.3,1.5,0,0.056,210,0,0,0.032,0.049,0,0.033,0.3,0.087,0.017,67.5,0,0,0,12.5,0.2,0.7,7.5,0.041,7.5,32.5,0.065,41.466
1527,blackberry juice,95,1.5,0.095,0.1,0.9,19.5,19.3,0.8,0.3,0,0.072,227.3,0,0.076,0.091,0,0.053,1.1,0,0.075,28.3,0,2.3,0.088,30,0.3,1.2,52.5,0,30,337.5,0.093,1,81.6
1528,lemon juice,54,0.6,0.06,0.073,0.038,16.6,6.1,0.9,0.7,0,0.046,225.2,0,0,0.015,0.093,0,0.084,0.2,0.2,0.1,94.4,0,0.4,0,14.6,0.073,0.2,14.6,0.091,19.5,251.3,0.09,18.9
1529,cranberry grape juice,137,0.2,0.053,0.092,0.08,34.3,0,0.5,0.2,0,0.079,209.7,0,0.094,0.09,0,0.056,0.3,0.1,0.027,78.4,0,0,0,19.6,0.051,0.04,7.4,0.4,9.8,58.8,0,0.055,133.2
1530,citrus fruit juice,114,0.057,0.088,0.048,0.085,28.3,20.2,0.8,0.2,0,0.051,217.8,0,0.043,0.021,0,0.096,0.2,0.2,0.054,67.2,0,0.1,0.042,22.3,0.065,2.8,14.9,0.2,24.8,277.8,0.036,0.011,121.7
1531,prune juice,182,0.006,0.033,0.082,0.011,44.7,42.1,1.6,2.6,0,0.1,208,0,0.038,0,0,0.2,2,0.3,0.6,10.5,0,0.3,0.007,30.7,0.2,3,35.8,0.4,64,706.6,0.083,0.5,93.105
1532,guanabana nectar,148,0.4,0.096,0.1,0.006,37.5,32.8,0.3,0.3,0,0.061,212.6,0,0.086,0.05,0,0.027,0.3,0.2,0.05,27.9,0,0.036,0,17.6,0.067,0.9,7.5,0.056,5,62.8,0.067,0.011,84.9
1533,fruit juice,108,0.1,0.059,0.048,0.036,26.3,24.2,0.3,0.2,0,0.1,172.7,0,0.071,0.2,0,0,0.096,0.028,0,0.001,50.8,0,0.1,0,6,0.039,0.5,10,0,14,244,0.089,26.937
1534,horchata,15,0.2,0,0,0,3.3,2.6,0.1,0,0,0.013,24.6,0,0,0,0,0,0.016,0,0.029,0,0,0.022,0,5.1,0.028,0.057,0.8,0.045,4.2,9.6,0.005,0.058,8.717
1535,fruit punch,98,0.4,0.048,0.011,0.039,24.4,0,0.2,0,0,0.08,208.6,0,0.092,0.061,0,0.1,0.1,0.035,0.047,11.2,0,0,0,16.4,0.097,0.5,7,0.1,7,154.4,0,0.4,53.1
1536,apricot nectar,139,0.2,0.07,0.085,0.039,35.7,34.2,0.9,1.5,0,0.025,210.5,0,0.044,0.059,0,0.014,0.6,0.2,0.036,1.5,0,0.8,0.008,17.4,0.2,0.9,12.4,0.008,22.3,282.7,0,0.2,58.1
1537,orangensaft ja,86,0,0,17.8,17.8,1.4,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
1538,fruchtcocktail granini,102,0.4,0.2,23,23,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
1539,peach nectar,125,1.3,0.6,0.2,0.5,29.7,27.8,0.5,0.2,0,0.077,217.3,0,0.038,0.1,0.005,0,0.049,0.5,0.2,0.091,75.2,0,1.5,0,14.9,0.2,0.2,12.5,0.058,12.5,124.5,0.071,31.949
1540,orange pineapple juice,15,0.08,0.056,0.026,0.024,3.6,3.1,0.1,0.032,0,0.044,25.7,0,0.044,0.01,0,0.069,0.054,0,0.053,12,0,0.036,0.016,2.4,0.09,0.086,3,0.1,3.2,44.3,0.076,0.072,18.261
1541,cranberry juice,92,0.3,0.061,0.098,0.1,24.4,24.2,0.8,0.2,0,0.093,174.3,0,0,0.069,0.011,0,0.016,0.2,0,0.1,18.6,0,2.4,0.099,16,0.1,0.5,12,0,26,154,0.036,25.975
1542,white grapefruit juice,96,0.2,0.083,0.091,0.007,22.7,22.5,1.2,0.2,0,0.018,222.3,0,0.015,0.029,0,0.005,0.5,0.5,0.1,93.9,0,0.5,0,22.2,0.035,0.5,29.6,0.032,37.1,400.1,0.019,0.1,140.9
1543,mango nectar,128,0.2,0.04,0.092,0.066,32.9,31.2,0.3,0.8,0,0.061,217.4,0,0,0.039,0.055,0,0.06,0.2,0.2,0.038,38.2,0,0.5,0.047,42.7,0.087,0.9,7.5,0.007,5,60.2,0.025,34.447
1544,acerola cherry juice,56,0.7,0.2,0.2,0.2,11.6,10.9,1,0.7,0,0.082,228.2,0,0.067,0.084,0,0.1,1,0.5,0.051,3872.0,0,0.4,0.057,24.2,0.2,1.2,29,0,21.8,234.7,0.061,0.2,3911.4
1545,apple juice concentrate,350,0.8,0.1,0.053,0.2,86.5,81.9,1.1,0.8,0,0.049,120.3,0,0.029,0.005,0,0.1,0.3,0.5,0.2,4.4,0,0.022,0,42.2,0.1,1.9,35.9,0.5,52.8,945.3,0.067,0.3,137.7
