tz,name,feature,long,countycode,state,pop,elev,lat,featclass,wikilink,id
America/Chicago,Birmingham,PPL,-86.80249,073,AL,231621,187,33.52066,P,"35201,35202,35203,35204,35205,35206,35207,35208,35209,35210,35211,35212,35213,35214,35215,35216,35217,35218,35219,35220,35221,35222,35223,35224,35225,35226,35228,35229,35230,35231,35232,35233,35234,35235,35236,35237,35238,35240,35243,35244,35245,35246,35249,35253,35254,35255,35259,35260,35261,35263,35266,35277,35278,35279,35280,35281,35282,35283,35285,35286,35287,35288,35289,35290,35291,35292,35293,35294,35295,35296,35297,35298,35299,Birmingem,Birmingham,Birmingham i Alabama,baminguhamu,baminhamu,bo ming han,http://en.wikipedia.org/wiki/Birmingham%2C_Alabama,Бирмингем,Бірмінгем,バーミングハム,バーミンハム,伯明翰",4049979
America/New_York,Racine,PPL,-81.9143,105,OH,781,176,38.97119,P,"45771,Rasin,http://en.wikipedia.org/wiki/Racine%2C_Ohio,Расин",4050068
America/Chicago,Black,PPL,-85.74438,061,AL,204,69,31.00935,P,"36314,http://en.wikipedia.org/wiki/Black%2C_Alabama",4050081
America/New_York,Turpin Hills,PPL,-84.37994,061,OH,4926,198,39.11006,P,http://en.wikipedia.org/wiki/Turpin_Hills%2C_Ohio,4050118
America/Chicago,Christie,PPL,-94.69023,001,OK,171,267,35.95814,P,http://en.wikipedia.org/wiki/Christie%2C_Oklahoma,4050172
America/Chicago,Cole,PPL,-97.57281,087,OK,480,349,35.10229,P,http://en.wikipedia.org/wiki/Cole%2C_Oklahoma,4050178
America/Chicago,Watts,PPL,-94.57022,001,OK,327,300,36.10925,P,"74964,http://en.wikipedia.org/wiki/Watts%2C_Oklahoma",4050296
America/New_York,Lugoff,PPL,-80.68925,055,SC,8131,80,34.22737,P,"29078,http://en.wikipedia.org/wiki/Lugoff%2C_South_Carolina",4050356
America/Chicago,Blountsville,PPL,-86.5911,009,AL,1892,217,34.08149,P,"35031,http://en.wikipedia.org/wiki/Blountsville%2C_Alabama",4050655
America/Chicago,Slayden,PPL,-87.47029,043,TN,191,224,36.29478,P,"37165,http://en.wikipedia.org/wiki/Slayden%2C_Tennessee",4050834
America/Chicago,Blue Mountain,PPL,-85.84274,015,AL,233,243,33.68455,P,http://en.wikipedia.org/wiki/Blue_Mountain%2C_Alabama,4050845
America/Chicago,Blue Ridge,PPL,-86.19052,051,AL,1391,112,32.49264,P,http://en.wikipedia.org/wiki/Blue_Ridge%2C_Alabama,4050879
America/Chicago,Buda,PPL,-97.84028,209,TX,4870,214,30.08521,P,"78610,http://en.wikipedia.org/wiki/Buda%2C_Texas",4050880
America/Chicago,Beasley,PPL,-95.91801,157,TX,681,33,29.49746,P,"77417,http://en.wikipedia.org/wiki/Beasley%2C_Texas",4050916
America/Chicago,Blue Springs,PPL,-85.50661,005,AL,121,93,31.66378,P,http://en.wikipedia.org/wiki/Blue_Springs%2C_Alabama,4050960
America/Chicago,Boaz,PPL,-86.16637,095,AL,7656,325,34.20065,P,"35956,35957,http://en.wikipedia.org/wiki/Boaz%2C_Alabama",4051059
America/Chicago,Boligee,PPL,-88.02891,063,AL,363,37,32.75597,P,"35443,http://en.wikipedia.org/wiki/Boligee%2C_Alabama",4051184
America/Chicago,Bon Air,PPL,-86.33553,121,AL,96,134,33.26372,P,"35032,http://en.wikipedia.org/wiki/Bon_Air%2C_Alabama",4051214
America/Chicago,Branchville,PPL,-86.4,115,AL,973,271,33.7,P,http://en.wikipedia.org/wiki/Branchville%2C_Alabama,4051560
America/Chicago,Brantley,PPL,-86.25718,041,AL,920,90,31.58238,P,"36009,http://en.wikipedia.org/wiki/Brantley%2C_Alabama",4051581
America/Chicago,Brent,PPL,-87.16472,007,AL,4810,73,32.93735,P,"35034,http://en.wikipedia.org/wiki/Brent%2C_Alabama",4051669
America/Chicago,Brewton,PPL,-87.07219,053,AL,5243,25,31.10518,P,"36426,36427,http://en.wikipedia.org/wiki/Brewton%2C_Alabama",4051714
America/Chicago,Bridgeport,PPL,-85.71442,071,AL,2642,205,34.94758,P,"35740,http://en.wikipedia.org/wiki/Bridgeport%2C_Alabama",4051774
America/Chicago,Brilliant,PPL,-87.75836,093,AL,711,189,34.02538,P,"35548,http://en.wikipedia.org/wiki/Brilliant%2C_Alabama",4051827
America/Chicago,Brookside,PPL,-86.91666,073,AL,1352,110,33.63788,P,"35036,http://en.wikipedia.org/wiki/Brookside%2C_Alabama",4051955
America/Chicago,Brookwood,PPL,-87.32083,125,AL,1483,183,33.25567,P,"35444,http://en.wikipedia.org/wiki/Brookwood%2C_Alabama",4051971
America/Chicago,Brundidge,PPL,-85.81606,109,AL,2313,144,31.72016,P,"36010,http://en.wikipedia.org/wiki/Brundidge%2C_Alabama",4052177
America/Chicago,Butler,PPL,-88.22197,023,AL,1773,54,32.08959,P,"36904,http://en.wikipedia.org/wiki/Butler%2C_Alabama",4052726
America/Chicago,Bynum,PPL,-85.96108,015,AL,1795,182,33.61316,P,"36253,http://en.wikipedia.org/wiki/Bynum%2C_Alabama",4052824
America/Chicago,Cahaba Heights,PPL,-86.73193,073,AL,5287,196,33.464,P,http://en.wikipedia.org/wiki/Cahaba_Heights%2C_Alabama,4052964
America/Chicago,Calera,PPL,-86.7536,117,AL,6727,154,33.1029,P,35040,4053050
America/Chicago,Camden,PPL,-87.29055,131,AL,2196,64,31.99098,P,"36726,http://en.wikipedia.org/wiki/Camden%2C_Alabama",4053200
America/Chicago,Camp Hill,PPL,-85.65357,123,AL,1174,217,32.80041,P,"36850,http://en.wikipedia.org/wiki/Camp_Hill%2C_Alabama",4053318
America/Chicago,Carbon Hill,PPL,-87.52612,127,AL,2033,146,33.89177,P,"35549,http://en.wikipedia.org/wiki/Carbon_Hill%2C_Alabama",4053671
America/Chicago,Cardiff,PPL,-86.93361,073,AL,77,109,33.64566,P,"35041,http://en.wikipedia.org/wiki/Cardiff%2C_Alabama",4053684
America/Chicago,Carolina,PPL,-86.52774,039,AL,252,100,31.24073,P,http://en.wikipedia.org/wiki/Carolina%2C_Alabama,4053757
America/Chicago,Carrollton,PPL,-88.09503,107,AL,939,75,33.26179,P,"35447,http://en.wikipedia.org/wiki/Carrollton%2C_Alabama",4053823
America/Chicago,Castleberry,PPL,-87.02247,035,AL,557,55,31.29906,P,"36432,http://en.wikipedia.org/wiki/Castleberry%2C_Alabama",4053940
America/Chicago,Cedar Bluff,PPL,-85.60774,019,AL,1517,181,34.22009,P,"35959,http://en.wikipedia.org/wiki/Cedar_Bluff%2C_Alabama",4054073
America/Chicago,Center Point,PPL,-86.6836,073,AL,22784,253,33.64566,P,http://en.wikipedia.org/wiki/Center_Point%2C_Alabama,4054378
America/Chicago,Centre,PPL,-85.67885,019,AL,3298,202,34.15204,P,"35960,http://en.wikipedia.org/wiki/Centre%2C_Alabama",4054555
America/Chicago,Centreville,PPL,-87.13861,007,AL,2477,77,32.94457,P,"35042,http://en.wikipedia.org/wiki/Centreville%2C_Alabama",4054566
America/Chicago,Chalkville,PPL,-86.64777,073,AL,3901,266,33.65316,P,http://en.wikipedia.org/wiki/Chalkville%2C_Alabama,4054593
America/Chicago,Chatom,PPL,-88.25446,129,AL,1167,64,31.46517,P,"36518,http://en.wikipedia.org/wiki/Chatom%2C_Alabama",4054818
America/Chicago,Chelsea,PPL,-86.63026,117,AL,3672,156,33.34011,P,"35043,http://en.wikipedia.org/wiki/Chelsea%2C_Alabama",4054852
America/Chicago,Cherokee,PPL,-87.97281,033,AL,1164,163,34.75703,P,"35616,http://en.wikipedia.org/wiki/Cherokee%2C_Alabama",4054866
